direcao,nota_media
Andy Palmer,4.925
Andy Schroeder,3.6
Andy Sidaris,4.408333333333333
Andy Tennant,6.233333333333333
Andy Warhol,5.2
"Andy Warhol, Chuck Wein",5.8
"Andy Warhol, Paul Morrissey",5.4
Andy Wolk,5.2
Aneesh Daniel,6.3
Ang Lee,6.6
Angela Bettis,5.5
Angela Evers Hughey,3.5
Angela Garcia Combs,4.4
Angela Robinson,5.733333333333333
Angela Shelton,6.6
Angelica Zollo,2.8
Angelina Jolie,5.85
Angelo Lopes,2.6
Angelo Pizzo,7.2
Anghus Houvouras,5.3
Angie Wang,5.4
Angus MacLachlan,5.5
Ani Simon-Kennedy,6.4
Anita Rosenberg,4.7
Anja Marquardt,5.3
Anja Murmann,5.3
Anjelica Huston,7.4
Ann Calamia,5.5
Ann Deborah Fishman,3.5
"Ann Deborah Fishman, Dave DeBorde",6.5
Ann LeSchander,6.5
Ann Lu,4.9
Ann Lupo,5.1
"Anna Akana, Megan Rosati",6.6
Anna Axster,5.9
Anna Biller,6.1
"Anna Boden, Ryan Fleck",6.75
"Anna Chi, Daniel Chuba",4.8
Anna Elizabeth James,5.699999999999999
Anna Foerster,5.8
Anna Margarita Albelo,5.7
Anna Mastro,5.4
Anna Rose Holmer,6.7
Anna Zielinski,6.2
"Annabel Jankel, Rocky Morton",6.2
Annabelle Attanasio,6.6
Anne Bancroft,6.3
Anne De Salvo,5.3
Anne Fletcher,6.116666666666667
Anne Goursaud,4.45
Anne Hamilton,5.9
Anne K. Black,4.875
Anne Misawa,5.3
Anne Norda,4.9
Anne Renton,5.7
Anne Welles,3.8
Anne-Marie Hess,6.1
Anne-Sophie Dutoit,4.5
Annette Apitz,5.3
Annette Haywood-Carter,6.050000000000001
"Annie J. Howell, Lisa Robinson",5.0
Annie K. McVey,5.6
Annie Silverstein,6.7
Anoop Rangi,3.0
Ansel Faraj,5.45
Ante Novakovic,3.6
"Anthony Abrams, Adam Larson Broder",5.8
Anthony Adams,3.4
Anthony Aikman,5.2
"Anthony Baldino, Ryan Lacen",5.8
